DATE,RSXFS
2007-01-01,327125
2007-02-01,328076
2007-03-01,330800
2007-04-01,329653
2007-05-01,334135
2007-06-01,331002
2007-07-01,332228
2007-08-01,333830
2007-09-01,335509
2007-10-01,337458
2007-11-01,340872
2007-12-01,336844
2008-01-01,337537
2008-02-01,334524
2008-03-01,335104
2008-04-01,335357
2008-05-01,337762
2008-06-01,338234
2008-07-01,336570
2008-08-01,333836
2008-09-01,328031
2008-10-01,314648
2008-11-01,301638
2008-12-01,294241
2009-01-01,298823
2009-02-01,297795
2009-03-01,292427
2009-04-01,293575
2009-05-01,296560
2009-06-01,301858
2009-07-01,302514
2009-08-01,309012
2009-09-01,300953
2009-10-01,304078
2009-11-01,306799
2009-12-01,308518
2010-01-01,308751
2010-02-01,308568
2010-03-01,316150
2010-04-01,318437
2010-05-01,315608
2010-06-01,314973
2010-07-01,315424
2010-08-01,317103
2010-09-01,319901
2010-10-01,324218
2010-11-01,327620
2010-12-01,329707
2011-01-01,332559
2011-02-01,334544
2011-03-01,337858
2011-04-01,340212
2011-05-01,339352
2011-06-01,341532
2011-07-01,341414
2011-08-01,342104
2011-09-01,345346
2011-10-01,348095
2011-11-01,349379
2011-12-01,349798
2012-01-01,352643
2012-02-01,357047
2012-03-01,358917
2012-04-01,356669
2012-05-01,356057
2012-06-01,352240
2012-07-01,353671
2012-08-01,358149
2012-09-01,361618
2012-10-01,362081
2012-11-01,362959
2012-12-01,364585
2013-01-01,367229
2013-02-01,371742
2013-03-01,368806
2013-04-01,367944
2013-05-01,369297
2013-06-01,371097
2013-07-01,373235
2013-08-01,372370
2013-09-01,372188
2013-10-01,373677
2013-11-01,374102
2013-12-01,376786
2014-01-01,373079
2014-02-01,377749
2014-03-01,382663
2014-04-01,386533
2014-05-01,386798
2014-06-01,387342
2014-07-01,387623
2014-08-01,391162
2014-09-01,389808
2014-10-01,390708
2014-11-01,392405
2014-12-01,388894
2015-01-01,385630
2015-02-01,383816
2015-03-01,391247
2015-04-01,390624
2015-05-01,394564
2015-06-01,394465
2015-07-01,397256
2015-08-01,397197
2015-09-01,397083
2015-10-01,395853
2015-11-01,397463
2015-12-01,398762
2016-01-01,395246
2016-02-01,396930
2016-03-01,397086
2016-04-01,399739
2016-05-01,401076
2016-06-01,405580
2016-07-01,404835
2016-08-01,404897
2016-09-01,407368
2016-10-01,410517
2016-11-01,409616
2016-12-01,413796
2017-01-01,418247
2017-02-01,416196
2017-03-01,416718
2017-04-01,418413
2017-05-01,418381
2017-06-01,418025
2017-07-01,420258
2017-08-01,419882
2017-09-01,429623
2017-10-01,432584
2017-11-01,436032
2017-12-01,435673
2018-01-01,434364
