DATE,TOTALSA
2008-07-01,13.0
2008-08-01,14.1
2008-09-01,13.0
2008-10-01,10.9
2008-11-01,10.5
2008-12-01,10.4
2009-01-01,9.8
2009-02-01,9.2
2009-03-01,9.8
2009-04-01,9.4
2009-05-01,10.2
2009-06-01,10.1
2009-07-01,11.6
2009-08-01,14.8
2009-09-01,9.5
2009-10-01,10.6
2009-11-01,11.0
2009-12-01,11.3
2010-01-01,10.9
2010-02-01,10.3
2010-03-01,11.8
2010-04-01,11.5
2010-05-01,12.0
2010-06-01,11.6
2010-07-01,11.9
2010-08-01,12.0
2010-09-01,11.9
2010-10-01,12.4
2010-11-01,12.3
2010-12-01,12.6
2011-01-01,12.8
2011-02-01,13.1
2011-03-01,13.3
2011-04-01,13.3
2011-05-01,12.3
2011-06-01,11.9
2011-07-01,12.7
2011-08-01,12.6
2011-09-01,13.4
2011-10-01,13.7
2011-11-01,13.7
2011-12-01,13.8
2012-01-01,14.4
2012-02-01,15.0
2012-03-01,14.6
2012-04-01,14.8
2012-05-01,14.5
2012-06-01,14.5
2012-07-01,14.4
2012-08-01,14.4
2012-09-01,15.1
2012-10-01,14.8
2012-11-01,15.5
2012-12-01,15.5
2013-01-01,15.8
2013-02-01,16.0
2013-03-01,15.8
2013-04-01,15.8
2013-05-01,15.7
2013-06-01,16.1
2013-07-01,16.0
2013-08-01,16.0
2013-09-01,15.5
2013-10-01,15.7
2013-11-01,16.5
2013-12-01,15.8
2014-01-01,15.7
2014-02-01,16.0
2014-03-01,17.2
2014-04-01,16.7
2014-05-01,17.1
2014-06-01,17.4
2014-07-01,17.0
2014-08-01,17.7
2014-09-01,16.7
2014-10-01,16.7
2014-11-01,17.2
2014-12-01,17.1
2015-01-01,17.1
2015-02-01,16.8
2015-03-01,17.9
2015-04-01,17.4
2015-05-01,18.1
2015-06-01,17.8
2015-07-01,18.0
2015-08-01,18.2
2015-09-01,18.4
2015-10-01,18.4
2015-11-01,18.4
2015-12-01,17.6
2016-01-01,18.1
2016-02-01,18.0
2016-03-01,17.2
2016-04-01,17.9
2016-05-01,17.6
2016-06-01,17.4
2016-07-01,18.1
2016-08-01,17.5
2016-09-01,18.0
2016-10-01,18.2
2016-11-01,17.9
2016-12-01,18.4
2017-01-01,17.7
2017-02-01,17.7
2017-03-01,17.1
2017-04-01,17.4
2017-05-01,17.1
2017-06-01,17.0
2017-07-01,17.1
2017-08-01,16.4
2017-09-01,18.9
2017-10-01,18.4
2017-11-01,17.9
2017-12-01,18.2
2018-01-01,17.5
