2018-04-13 08:14:22,,61,367,This is Paul Ryan. Exactly. 100%. Fuck Paul Ryan. https://t.co/MYxN9jOas8,"[[[-74.988897, 39.810025], [-74.908642, 39.810025], [-74.908642, 39.87514], [-74.988897, 39.87514]]]","Voorhees, NJ",United States,US,city
2018-04-13 06:02:24,"Denver, CO",395,610,@sethmeyers hit it right on: Paul Ryan like dinner guest who clogs toilet then leaves. Unclog the #Trump problem be… https://t.co/jAuJER6Z7m,"[[[-104.988399, 39.565951], [-104.922825, 39.565951], [-104.922825, 39.613203], [-104.988399, 39.613203]]]","Southglenn, CO",United States,US,city
2018-04-13 05:54:32,,3743,4409,@PalmerReport Could It Be Paul Ryan's An Abject Failure?,"[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]","Dallas, TX",United States,US,city
2018-04-13 05:47:49,"New York, NY",65,524,How is this not a bigger deal?! Our government is is perpetuating and promoting lies. Fuck you @GOP . You are spine… https://t.co/msdu3ek8O6,"[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Brooklyn, NY",United States,US,city
2018-04-13 05:40:41,"L.A., Mount Washington",3898,1079,"Is it Ok to wish Paul Ryan gets crushed by a falling rack of Creed CDs, kinda like the last scene of Howards End?","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-13 05:37:14,"Los Angeles, CA",400,902,How much you wanna bet Paul Ryan is retiring from congress so he can run for President? #callingitnow,"[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-13 05:17:04,CT,1131,3591,"#NewJobsForPaulRyan Starring in Steven Spielberg's new film, Saving Paul Ryan https://t.co/9asnls7wTu","[[[-73.545122, 41.352784], [-73.400835, 41.352784], [-73.400835, 41.463455], [-73.545122, 41.463455]]]","Danbury, CT",United States,US,city
2018-04-13 05:16:40,"Shreveport, LA",12,87,"@CNN #Paul Ryan is a disgrace. He got that tax reform and got his money, now he’s tucking tail and running! Good ri… https://t.co/EDDWDzrnGo","[[[-89.966331, 38.568042], [-89.846287, 38.568042], [-89.846287, 38.643885], [-89.966331, 38.643885]]]","O'Fallon, IL",United States,US,city
2018-04-13 05:16:32,"Westchester County, NY",745,638,"Krugman, as ever, nails it. Ryan the Flim Flam artist. If someone else tells me he's a ""wunderkind policy wonk"" I'm… https://t.co/0iVgOWFAZs","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","New York, USA",United States,US,admin
2018-04-13 05:07:55,,27,39,@TIME I KNEW IT!!! PAUL RYAN OPTED TO RETIRE SO HE CAN ENJOY THE MILLIONS HE’LL RECEIVE FROM HIS SHAMELESS SELF-SERVING TAX REFORM!!!,"[[[-115.316075, 35.9607531], [-115.152796, 35.9607531], [-115.152796, 36.0768564], [-115.316075, 36.0768564]]]","Enterprise, NV",United States,US,city
2018-04-13 05:07:07,"Orlando, FL",4631,1172,@RepMarkMeadows @mkues65 Start impeachment proceedings (after pushing Paul Ryan out),"[[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]]","Florida, USA",United States,US,admin
2018-04-13 05:04:48,"Westchester County, NY",745,638,"The incredible shrinking Paul Ryan. But no RIP from me! Nope! GTH, Ryan! You've sold us ALL out!

https://t.co/W7tf0Gq49m","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","New York, USA",United States,US,admin
2018-04-13 04:54:17,"Hollywood, Los Angeles",1117,1996,"""How #MeToo&amp; #TimesUp Leads to Death Panels &amp; Dancing""
a new @Hillsdale lecture series by Paul Ryan… https://t.co/1ZSScQRpY2","[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]","Los Angeles, CA",United States,US,city
2018-04-13 04:45:10,"Newport Beach, CA",22,92,"@laurenduca @lauradreyfuss Not a fan of Paul Ryan, but that was a low blow.  I am a huge fan of DEH bty! @lauradreyfuss","[[[-117.9582193, 33.563618], [-117.789845, 33.563618], [-117.789845, 33.671658], [-117.9582193, 33.671658]]]","Newport Beach, CA",United States,US,city
2018-04-13 04:42:59,,378,391,".@JoeNBC Joe, please give us one example of ""small government conservatism,"" which you often refer to, ever working… https://t.co/wQEaxLNEbS","[[[-122.34266, 37.699279], [-122.114711, 37.699279], [-122.114711, 37.8847092], [-122.34266, 37.8847092]]]","Oakland, CA",United States,US,city
2018-04-13 04:41:07,Idaho,852,785,@mjfree @SpeakerRyan @realDonaldTrump Paul Ryan was given millions of dollars from the Mercer Family or the Koch Fa… https://t.co/QWpevCBZjT,"[[[-117.039699, 46.710846], [-116.961769, 46.710846], [-116.961769, 46.758567], [-117.039699, 46.758567]]]","Moscow, ID",United States,US,city
2018-04-13 04:40:55,"Colorado, USA",316,1495,Paul Ryan is a selfish fprick.,"[[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]]","Colorado, USA",United States,US,admin
2018-04-13 04:34:35,The Big Easy,279,383,@GOP This is the most pathetic half-assed “I know you are but what am I” in Internet history.  Paul Ryan couldn’t l… https://t.co/GrqpAPpGwz,"[[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]]","New Orleans, LA",United States,US,city
2018-04-13 04:25:09,"Sydney, New South Wales",1368,833,@AndyThorburnCA @SpeakerRyan Paul Ryan is retiring so he doesn’t get caught up in the #Trump mess &amp; can contest… https://t.co/EW5mx1GKMM,"[[[150.520928608, -34.1183470085], [151.343020992, -34.1183470085], [151.343020992, -33.578140996], [150.520928608, -33.578140996]]]","Sydney, New South Wales",Australia,AU,city
2018-04-13 04:08:30,Land 'O Cheese,3855,558,"@JayWeber3 Apparently his wife contributed a few million to their assets, possibly even a majority of their assets. https://t.co/GyUcYE6hNv","[[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]]","Wisconsin, USA",United States,US,admin
2018-04-13 04:07:34,"Dayton, OH",79,69,What a hypocrite! Paul Ryan is not a leader. He's the ultimate follower. Weak! Certainly not a true Republican. His… https://t.co/NMVVGjt64F,"[[[-84.206565, 39.631259], [-84.1456804, 39.631259], [-84.1456804, 39.677367], [-84.206565, 39.677367]]]","Woodbourne-Hyde Park, OH",United States,US,city
2018-04-13 04:04:34,"Delmar, NY",43,224,Pee Tape Allegations; Paul Ryan Retires; Trump Attacks Mueller: A Closer... https://t.co/X5vWDq2dRp via @YouTube,"[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","New York, USA",United States,US,admin
2018-04-13 03:53:24,Salt Lake City,22518,998,"“How did such an obvious con artist get a reputation for seriousness and fiscal probity? Basically, he was the bene… https://t.co/dKDcZx4rVt","[[[-112.0383105, 40.6998952], [-111.795741, 40.6998952], [-111.795741, 40.8317151], [-112.0383105, 40.8317151]]]","Salt Lake City, UT",United States,US,city
2018-04-13 03:52:42,"Florida, USA",132,274,"@DanRather @CNN @funder @DavidCornDC 
Paul Ryan will probably not be remembered at all, except occasionally as a Profile in Wimp!","[[[-80.3893437, 25.628844], [-80.304896, 25.628844], [-80.304896, 25.7151276], [-80.3893437, 25.7151276]]]","Kendall, FL",United States,US,city
2018-04-13 03:50:49,,886,1731,"@MadelyneRants @MaraJade_2017 We are all workers! Workers deserve a living wage, healthcare, &amp; a decent retirement!… https://t.co/3swfbnmpGv","[[[-124.848975, 45.543542], [-116.915989, 45.543542], [-116.915989, 49.0025023], [-124.848975, 49.0025023]]]","Washington, USA",United States,US,admin
2018-04-13 03:42:42,the beach,296,1019,@thedailybeast @MariaJGreen1 As a private citizen lets hope Paul Ryan's pre-existing condition of being heartless b… https://t.co/TAwULJ6f4T,"[[[-122.839662, 46.9594626], [-122.691155, 46.9594626], [-122.691155, 47.119369], [-122.839662, 47.119369]]]","Lacey, WA",United States,US,city
2018-04-13 03:42:18,,3770,4066,House Republicans were just blindsided by a second major retirement after Paul Ryan’s announcement - https://t.co/zqMbSeCRzE,"[[[-97.287293, 37.509588], [-97.225971, 37.509588], [-97.225971, 37.591553], [-97.287293, 37.591553]]]","Derby, KS",United States,US,city
2018-04-13 03:42:12,"New York, NY",724,1195,@WernerTwertzog And Paul Ryan,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Manhattan, NY",United States,US,city
2018-04-13 03:41:11,chicago,1131,2109,"Folks, what have I always said?

(1) the pee tape was always real
(2) the RNC accepted laundered Russian money (Pau… https://t.co/JFYmd895oS","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Chicago, IL",United States,US,city
2018-04-13 03:39:03,"Morehead, KY",610,1640,https://t.co/3vWZZUBPr1 I have a hard time seeing Paul Ryan lasting through the election as a lame-duck speaker.,"[[[-89.57151, 36.497129], [-81.964971, 36.497129], [-81.964971, 39.147359], [-89.57151, 39.147359]]]","Kentucky, USA",United States,US,admin
2018-04-13 03:35:49,The Stables,319,1043,"@Hipro_formance Sure... and we have abridge to sell, right🙄. The height of hypocrisy, these Republicans who sold th… https://t.co/0XQ6s1PNC3","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","New York, USA",United States,US,admin
2018-04-13 03:33:29,"Pittsburgh, PA",1039,1188,"Paul Ryan: “As my last act before leaving office, let me just say...” (smothers sick old lady)","[[[-79.988653, 40.4784445], [-79.9022372, 40.4784445], [-79.9022372, 40.56368], [-79.988653, 40.56368]]]","Shaler Township, PA",United States,US,city
2018-04-13 03:24:07,"San Antonio, Fl",2030,4140,@kylegriffin1 Oh good. We can talk about Congress forcing Post Office to prepay retirement &amp; health care by decades… https://t.co/32aMIgt7DV,"[[[-82.337852, 28.273444], [-82.324693, 28.273444], [-82.324693, 28.325295], [-82.337852, 28.325295]]]","Pasco, FL",United States,US,city
2018-04-13 03:22:24,,85,97,"Good news Paul Ryan  might leave in July bc he being forced out of office.
What new kind new monster will replace him.","[[[-87.790221, 41.469705], [-87.7030874, 41.469705], [-87.7030874, 41.492177], [-87.790221, 41.492177]]]","Richton Park, IL",United States,US,city
2018-04-13 03:17:51,"North Carolina, USA",435,1520,@ItsMeCathi OR THE CLEVEREST. HE COULD DUMP IT ALL ON TRUMP HUN. IF COHEN PLAYED THESE TAPES FOR THE REPUBLICAN SEN… https://t.co/3xSUtZ7lcs,"[[[-6.1087884, 54.4943635], [-6.0159191, 54.4943635], [-6.0159191, 54.5376978], [-6.1087884, 54.5376978]]]","Lisburn, Northern Ireland",United Kingdom,GB,city
2018-04-13 03:16:44,"Ohio, USA",11,85,@PEEOPLESUCK @latimes I agee about that sickening smile Paul Ryan always had on his face as he stood behind Trump.… https://t.co/rRNhz24ce6,"[[[-84.336852, 39.2638082], [-84.3126496, 39.2638082], [-84.3126496, 39.286729], [-84.336852, 39.286729]]]","Sixteen Mile Stand, OH",United States,US,city
2018-04-13 03:15:23,Brasil,35591,28869,"President Trump says ""sometimes it may not look like it, but believe me, we are draining the swamp"" during a Rose G… https://t.co/Bcw24amKBs","[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]","Sao Paulo, Brazil",Brazil,BR,city
2018-04-13 03:14:03,Brookline is Best.,425,1830,Spot on correct. The Paul Ryan Story: From Flimflam to Fascism https://t.co/BPwrobl0aS,"[[[-80.2682341, 26.1358315], [-80.192482, 26.1358315], [-80.192482, 26.1938974], [-80.2682341, 26.1938974]]]","Lauderhill, FL",United States,US,city
2018-04-13 03:06:17,"41.16634,-104.77032",1451,2643,"@ReaganBattalion @nytimes @paulkrugman That said, a friend of mine who use to work for the Obama admin would always… https://t.co/LMfKA1IeKh","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-13 03:03:55,"Spartanburg, SC",3030,4990,Eddie .... I mean Paul Ryan “now a lame duck” most likely will be shuffled out early..... https://t.co/cfraBcOnJx,"[[[-82.034962, 34.968082], [-81.9652629, 34.968082], [-81.9652629, 35.019515], [-82.034962, 35.019515]]]","Sigsbee, SC",United States,US,city
2018-04-13 03:03:36,"41.16634,-104.77032",1451,2643,"@ReaganBattalion @nytimes @paulkrugman Sorry, but Paul Ryan brought trillion dollar deficits after campaigning on f… https://t.co/KMSLHt52Ej","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-13 03:02:06,"Tacoma, WA",829,3198,@annafifield Could they just have wanted to spend more time with Paul Ryan's kids too?,"[[[-122.400587, 47.007874], [-122.321159, 47.007874], [-122.321159, 47.083589], [-122.400587, 47.083589]]]","Elk Plain, WA",United States,US,city
2018-04-13 03:01:04,the durty,1633,2780,Aaaaaand suddenly we know why Paul Ryan is gtfo #msnbc 😂 #trms #eleventhhour #inners #morningjoe https://t.co/ZpJEIfNJhe,"[[[-78.818343, 35.7158045], [-78.497331, 35.7158045], [-78.497331, 35.9721579], [-78.818343, 35.9721579]]]","Raleigh, NC",United States,US,city
2018-04-13 02:56:07,the path to the river shore,355,1007,@B52Malmet ha! and if Pence does go that leaves retiring Paul Ryan next in line,"[[[-73.727776, 40.950918], [-71.786994, 40.950918], [-71.786994, 42.050588], [-73.727776, 42.050588]]]","Connecticut, USA",United States,US,admin
2018-04-13 02:55:35,"Ann Arbor, MI",86,61,@SteveSchmidtSES @reeddiamond Paul Ryan had no passing acquaintance with a spine.,"[[[-83.800262, 42.215087], [-83.659681, 42.215087], [-83.659681, 42.326592], [-83.800262, 42.326592]]]","Ann Arbor, MI",United States,US,city
2018-04-13 02:53:50,"New Orleans, LA",199,447,@JoshuaMZeitz @NotABlindTrust Go tell it on the Mountain ⛰ that Paul Ryan is a heartless son of a bitch,"[[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]]","New Orleans, LA",United States,US,city
2018-04-13 02:53:46,"Hawaii, USA",39,53,@DavidCornDC If Paul Ryan really wanted to do something constructive prior to departure-he's REMOVE NUNES from HEAD… https://t.co/1uEG709EGN,"[[[-178.443593, 18.86546], [-154.755792, 18.86546], [-154.755792, 28.517269], [-178.443593, 28.517269]]]","Hawaii, USA",United States,US,admin
2018-04-13 02:53:22,"Indianapolis, IN",673,914,LOL at the NYT editorial page trying to shame Paul Ryan into doing the right thing on his way out the door. What ab… https://t.co/kNyq7xC2eM,"[[[-86.241245, 39.926048], [-86.023652, 39.926048], [-86.023652, 40.000451], [-86.241245, 40.000451]]]","Carmel, IN",United States,US,city
2018-04-13 02:53:11,San Francisco CA/Washington DC,886,4608,@SpeakerRyan Paul Ryan you’re no better than the Nazis gestapos in Germany that murdered those six million Jewish m… https://t.co/u0KRGlrnhO,"[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-13 02:52:15,Tennessee,928,1163,@linguistpi @ananavarro @LM_KoolKarma @netflix @NicolleDWallace Hmmmmm- I follow her to but she supports Paul Ryan… https://t.co/u2UuEYaKYd,"[[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]]","Nashville, TN",United States,US,city
2018-04-13 02:41:33,,302,109,I had to explain to my mom why I dislike Paul Ryan and also who Paul Ryan is and how the speaker of the house is chosen,"[[[-80.065679, 40.482571], [-80.04462, 40.482571], [-80.04462, 40.508232], [-80.065679, 40.508232]]]","Bellevue, PA",United States,US,city
2018-04-13 02:40:37,"Grand Rapids, MI",484,1370,"The Paul Ryan revisionist history is as ridiculous as it is unsurprising. He is a bought, empty suit who’s job was… https://t.co/2Hp11xZBYq","[[[-85.551867, 42.854485], [-85.4495569, 42.854485], [-85.4495569, 42.971813], [-85.551867, 42.971813]]]","Forest Hills, MI",United States,US,city
2018-04-13 02:39:11,"Houston, TX",295,262,"The real reason why Paul Ryan is retiring, is because Democrats getting Republicans out the paint come November. It… https://t.co/jM16i43vFs","[[[-94.61771, 33.004106], [-89.644838, 33.004106], [-89.644838, 36.499767], [-94.61771, 36.499767]]]","Arkansas, USA",United States,US,admin
2018-04-13 02:38:50,"Washington, DC",5821,2774,"“He had a lot of fun and enjoyment working with President Trump,” @Reince says of Paul Ryan on Fox News.","[[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]","Washington, DC",United States,US,city
2018-04-13 02:35:39,"Baltimore, MD",813,586,"@jadashi Paul Ryan would have been up against Randy Bryce, AKA @IronStache, who survived cancer among other things.… https://t.co/w7uREVyViW","[[[-76.7115205, 39.197211], [-76.529443, 39.197211], [-76.529443, 39.372215], [-76.7115205, 39.372215]]]","Baltimore, MD",United States,US,city
2018-04-13 02:31:47,,191,445,@treybritt42 @NBCNews @HallieJackson During the LIVE Paul Ryan speech.. They removed my statement and wouldn't let me send any other tweets,"[[[-83.694776, 41.580375], [-83.454566, 41.580375], [-83.454566, 41.732806], [-83.694776, 41.732806]]]","Toledo, OH",United States,US,city
2018-04-13 02:26:39,"Takoma Park, USA",1145,2263,Will Paul Ryan join John Boehner in the pot biz and lobby to expunge records of marijuana offenders? https://t.co/8P0qsbY22p,"[[[-77.022864, 38.96569], [-76.9847886, 38.96569], [-76.9847886, 38.9982088], [-77.022864, 38.9982088]]]","Takoma Park, MD",United States,US,city
2018-04-13 02:21:39,Birmingham,399,434,Y'all think Paul Ryan is on Cohen's tapes?,"[[[-86.967333, 33.405025], [-86.620501, 33.405025], [-86.620501, 33.67945], [-86.967333, 33.67945]]]","Birmingham, AL",United States,US,city
2018-04-13 02:20:40,"Houston, Texas",3822,3349,".@CNN Panelists Refer to @SpeakerRyan as a 'Coward', @realdonaldtrump as 'Insane' https://t.co/5uAGCvKYXQ","[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]","Houston, TX",United States,US,city
2018-04-13 02:18:08,"Washington, DC",633,881,"Utah’s Rob Bishop could be a ‘dark horse’ candidate for House speaker after Paul Ryan retires, via @sltrib https://t.co/TqRrgs0ZHx","[[[-77.172219, 38.827378], [-77.031779, 38.827378], [-77.031779, 38.934311], [-77.172219, 38.934311]]]","Arlington, VA",United States,US,city
2018-04-13 02:16:28,"Manhattan, New York City",145,1071,When describing Paul Ryan resigning from the position of Speaker of the House analogies are made of him jumping shi… https://t.co/mnUlgTk1hy,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Manhattan, NY",United States,US,city
2018-04-13 02:15:31,Current Habitat NYC,62,125,Why? Paul Ryan disappointed everyone. How could he not find an ethic or a backbone to stand for. Nothing. He should… https://t.co/pDqmyBINwB,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]","Manhattan, NY",United States,US,city
2018-04-13 02:14:34,North Carolina ,449,386,@BradandBritt As long as Paul Ryan isn't spea...oh...wait...,"[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]","North Carolina, USA",United States,US,admin
2018-04-13 02:12:51,"Dundalk, MD",138,397,"Ryan pressed on all-white, all-male GOP leadership

https://t.co/Ovu7GaKOS3","[[[-76.529818, 39.2227017], [-76.447351, 39.2227017], [-76.447351, 39.306282], [-76.529818, 39.306282]]]","Dundalk, MD",United States,US,city
2018-04-13 02:11:57,N 44°58' 0'' / W 93°8' 0'',1169,1958,The Paul Ryan Story: From Flimflam to Fascism https://t.co/FiMeNcVG62,"[[[-93.329515, 44.889964], [-93.194578, 44.889964], [-93.194578, 45.051257], [-93.329515, 45.051257]]]","Minneapolis, MN",United States,US,city
2018-04-13 02:10:47,"Jakarta Capital Region, Indonesia",37,151,best show Pee Tape Allegations; Paul Ryan Retires; Trump Attacks Mueller: A Closer... https://t.co/XZHVH8z1U0 via @YouTube @sethmeyers,"[[[106.792411, -6.268342], [106.825935, -6.268342], [106.825935, -6.220827], [106.792411, -6.220827]]]","Kebayoran Baru, Indonesia",Indonesia,ID,city
2018-04-13 02:05:42,Kansas,1297,426,"Someone at trivia has the team name “Eat a Bag of Dicks, Paul Ryan” 😂😂","[[[-105.109815, 39.614151], [-104.734372, 39.614151], [-104.734372, 39.812975], [-105.109815, 39.812975]]]","Denver, CO",United States,US,city
2018-04-13 02:04:22,,7194,851,"@Salon @sallykohn @AmandaMarcotte How about Paul Ryan have a little compassion for old, poor and sick people that h… https://t.co/7gXxDofBES","[[[-73.727776, 40.950918], [-71.786994, 40.950918], [-71.786994, 42.050588], [-73.727776, 42.050588]]]","Connecticut, USA",United States,US,admin
2018-04-13 02:01:28,"St Paul, MN",101,491,"@PodSaveAmerica
YEEEEEAAAASSSSS!!!!
Speaker Paul Ryan Will Not Seek Re-election in November https://t.co/IoWPTTuCBx","[[[-93.329515, 44.889964], [-93.194578, 44.889964], [-93.194578, 45.051257], [-93.329515, 45.051257]]]","Minneapolis, MN",United States,US,city
2018-04-13 01:59:23,Impeachment City USA,5381,3630,@goldengateblond If you’re talking about the letter about Clinton released 10 days before the election - that was n… https://t.co/2JbqaEGQE9,"[[[-81.570027, 31.122864], [-81.439789, 31.122864], [-81.439789, 31.306113], [-81.570027, 31.306113]]]","Brunswick, GA",United States,US,city
2018-04-13 01:55:32,"Lakeville, MN",104,247,@CBSThisMorning @SpeakerRyan @GayleKing Paul Ryan why did you not use opportunity to discuss Diamond &amp;Silk and thei… https://t.co/JwVLWEJX0h,"[[[-93.3184, 44.640924], [-93.156249, 44.640924], [-93.156249, 44.717832], [-93.3184, 44.717832]]]","Lakeville, MN",United States,US,city
2018-04-13 01:47:53,"Santa Rosa, CA",1602,1586,@SenFeinstein @MissPenny18 Paul Ryan’s legacy,"[[[98.9767892, 18.7787891], [98.9986358, 18.7787891], [98.9986358, 18.7859498], [98.9767892, 18.7859498]]]","Phra Sing, Thailand",Thailand,TH,city
2018-04-13 01:46:28,,48,231,"This is very good and extremely right and Paul Ryan absolutely wont do any of it.

https://t.co/8LpQmyT897 via @politico","[[[-73.221647, 42.876106], [-73.2094337, 42.876106], [-73.2094337, 42.89097], [-73.221647, 42.89097]]]","Old Bennington, VT",United States,US,city
2018-04-13 01:42:04,"Country Aire - Elgin, Oklahoma",219,306,@dailykos I can see Boehner totally firing one up. Paul Ryan? Bwahahaha. 🤣,"[[[-102.434966, 31.792563], [-102.253208, 31.792563], [-102.253208, 31.955114], [-102.434966, 31.955114]]]","Odessa, TX",United States,US,city
2018-04-13 01:40:00,Rock City IL,816,1402,I would say Paul Ryan is taking a strange route to the white house but I can never say that about anyone anymore,"[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]","Illinois, USA",United States,US,admin
