DATE,HOUST
1975-02-01,904
1975-03-01,993
1975-04-01,1005
1975-05-01,1121
1975-06-01,1087
1975-07-01,1226
1975-08-01,1260
1975-09-01,1264
1975-10-01,1344
1975-11-01,1360
1975-12-01,1321
1976-01-01,1367
1976-02-01,1538
1976-03-01,1421
1976-04-01,1395
1976-05-01,1459
1976-06-01,1495
1976-07-01,1401
1976-08-01,1550
1976-09-01,1720
1976-10-01,1629
1976-11-01,1641
1976-12-01,1804
1977-01-01,1527
1977-02-01,1943
1977-03-01,2063
1977-04-01,1892
1977-05-01,1971
1977-06-01,1893
1977-07-01,2058
1977-08-01,2020
1977-09-01,1949
1977-10-01,2042
1977-11-01,2042
1977-12-01,2142
1978-01-01,1718
1978-02-01,1738
1978-03-01,2032
1978-04-01,2197
1978-05-01,2075
1978-06-01,2070
1978-07-01,2092
1978-08-01,1996
1978-09-01,1970
1978-10-01,1981
1978-11-01,2094
1978-12-01,2044
1979-01-01,1630
1979-02-01,1520
1979-03-01,1847
1979-04-01,1748
1979-05-01,1876
1979-06-01,1913
1979-07-01,1760
1979-08-01,1778
1979-09-01,1832
1979-10-01,1681
1979-11-01,1524
1979-12-01,1498
1980-01-01,1341
1980-02-01,1350
1980-03-01,1047
1980-04-01,1051
1980-05-01,927
1980-06-01,1196
1980-07-01,1269
1980-08-01,1436
1980-09-01,1471
1980-10-01,1523
1980-11-01,1510
1980-12-01,1482
1981-01-01,1547
1981-02-01,1246
1981-03-01,1306
1981-04-01,1360
1981-05-01,1140
1981-06-01,1045
1981-07-01,1041
1981-08-01,940
1981-09-01,911
1981-10-01,873
1981-11-01,837
1981-12-01,910
1982-01-01,843
1982-02-01,866
1982-03-01,931
1982-04-01,917
1982-05-01,1025
1982-06-01,902
1982-07-01,1166
1982-08-01,1046
1982-09-01,1144
1982-10-01,1173
1982-11-01,1372
1982-12-01,1303
1983-01-01,1586
1983-02-01,1699
1983-03-01,1606
1983-04-01,1472
1983-05-01,1776
1983-06-01,1733
1983-07-01,1785
1983-08-01,1910
1983-09-01,1710
1983-10-01,1715
1983-11-01,1785
1983-12-01,1688
1984-01-01,1897
1984-02-01,2260
1984-03-01,1663
1984-04-01,1851
1984-05-01,1774
1984-06-01,1843
1984-07-01,1732
1984-08-01,1586
1984-09-01,1698
1984-10-01,1590
1984-11-01,1689
1984-12-01,1612
1985-01-01,1711
1985-02-01,1632
1985-03-01,1800
1985-04-01,1821
1985-05-01,1680
1985-06-01,1676
1985-07-01,1684
1985-08-01,1743
1985-09-01,1676
1985-10-01,1834
1985-11-01,1698
1985-12-01,1942
1986-01-01,1972
1986-02-01,1848
1986-03-01,1876
1986-04-01,1933
1986-05-01,1854
1986-06-01,1847
1986-07-01,1782
1986-08-01,1807
1986-09-01,1687
1986-10-01,1681
1986-11-01,1623
1986-12-01,1833
1987-01-01,1774
1987-02-01,1784
1987-03-01,1726
1987-04-01,1614
1987-05-01,1628
1987-06-01,1594
1987-07-01,1575
1987-08-01,1605
1987-09-01,1695
1987-10-01,1515
1987-11-01,1656
1987-12-01,1400
1988-01-01,1271
1988-02-01,1473
1988-03-01,1532
1988-04-01,1573
1988-05-01,1421
1988-06-01,1478
1988-07-01,1467
1988-08-01,1493
1988-09-01,1492
1988-10-01,1522
1988-11-01,1569
1988-12-01,1563
1989-01-01,1621
1989-02-01,1425
1989-03-01,1422
1989-04-01,1339
1989-05-01,1331
1989-06-01,1397
1989-07-01,1427
1989-08-01,1332
1989-09-01,1279
1989-10-01,1410
1989-11-01,1351
1989-12-01,1251
1990-01-01,1551
1990-02-01,1437
1990-03-01,1289
1990-04-01,1248
1990-05-01,1212
1990-06-01,1177
1990-07-01,1171
1990-08-01,1115
1990-09-01,1110
1990-10-01,1014
1990-11-01,1145
1990-12-01,969
1991-01-01,798
1991-02-01,965
1991-03-01,921
1991-04-01,1001
1991-05-01,996
1991-06-01,1036
1991-07-01,1063
1991-08-01,1049
1991-09-01,1015
1991-10-01,1079
1991-11-01,1103
1991-12-01,1079
1992-01-01,1176
1992-02-01,1250
1992-03-01,1297
1992-04-01,1099
1992-05-01,1214
1992-06-01,1145
1992-07-01,1139
1992-08-01,1226
1992-09-01,1186
1992-10-01,1244
1992-11-01,1214
1992-12-01,1227
1993-01-01,1210
1993-02-01,1210
1993-03-01,1083
1993-04-01,1258
1993-05-01,1260
1993-06-01,1280
1993-07-01,1254
1993-08-01,1300
1993-09-01,1343
1993-10-01,1392
1993-11-01,1376
1993-12-01,1533
1994-01-01,1272
1994-02-01,1337
1994-03-01,1564
1994-04-01,1465
1994-05-01,1526
1994-06-01,1409
1994-07-01,1439
1994-08-01,1450
1994-09-01,1474
1994-10-01,1450
1994-11-01,1511
1994-12-01,1455
1995-01-01,1407
1995-02-01,1316
1995-03-01,1249
1995-04-01,1267
1995-05-01,1314
1995-06-01,1281
1995-07-01,1461
1995-08-01,1416
1995-09-01,1369
1995-10-01,1369
1995-11-01,1452
1995-12-01,1431
1996-01-01,1467
1996-02-01,1491
1996-03-01,1424
1996-04-01,1516
1996-05-01,1504
1996-06-01,1467
1996-07-01,1472
1996-08-01,1557
1996-09-01,1475
1996-10-01,1392
1996-11-01,1489
1996-12-01,1370
1997-01-01,1355
1997-02-01,1486
1997-03-01,1457
1997-04-01,1492
1997-05-01,1442
1997-06-01,1494
1997-07-01,1437
1997-08-01,1390
1997-09-01,1546
1997-10-01,1520
1997-11-01,1510
1997-12-01,1566
1998-01-01,1525
1998-02-01,1584
1998-03-01,1567
1998-04-01,1540
1998-05-01,1536
1998-06-01,1641
1998-07-01,1698
1998-08-01,1614
1998-09-01,1582
1998-10-01,1715
1998-11-01,1660
1998-12-01,1792
1999-01-01,1748
1999-02-01,1670
1999-03-01,1710
1999-04-01,1553
1999-05-01,1611
1999-06-01,1559
1999-07-01,1669
1999-08-01,1648
1999-09-01,1635
1999-10-01,1608
1999-11-01,1648
1999-12-01,1708
2000-01-01,1636
2000-02-01,1737
2000-03-01,1604
2000-04-01,1626
2000-05-01,1575
2000-06-01,1559
2000-07-01,1463
2000-08-01,1541
2000-09-01,1507
2000-10-01,1549
2000-11-01,1551
2000-12-01,1532
2001-01-01,1600
2001-02-01,1625
2001-03-01,1590
2001-04-01,1649
2001-05-01,1605
2001-06-01,1636
2001-07-01,1670
2001-08-01,1567
2001-09-01,1562
2001-10-01,1540
2001-11-01,1602
2001-12-01,1568
2002-01-01,1698
2002-02-01,1829
2002-03-01,1642
2002-04-01,1592
2002-05-01,1764
2002-06-01,1717
2002-07-01,1655
2002-08-01,1633
2002-09-01,1804
2002-10-01,1648
2002-11-01,1753
2002-12-01,1788
2003-01-01,1853
2003-02-01,1629
2003-03-01,1726
2003-04-01,1643
2003-05-01,1751
2003-06-01,1867
2003-07-01,1897
2003-08-01,1833
2003-09-01,1939
2003-10-01,1967
2003-11-01,2083
2003-12-01,2057
2004-01-01,1911
2004-02-01,1846
2004-03-01,1998
2004-04-01,2003
2004-05-01,1981
2004-06-01,1828
2004-07-01,2002
2004-08-01,2024
2004-09-01,1905
2004-10-01,2072
2004-11-01,1782
2004-12-01,2042
2005-01-01,2144
2005-02-01,2207
2005-03-01,1864
2005-04-01,2061
2005-05-01,2025
2005-06-01,2068
2005-07-01,2054
2005-08-01,2095
2005-09-01,2151
2005-10-01,2065
2005-11-01,2147
2005-12-01,1994
2006-01-01,2273
2006-02-01,2119
2006-03-01,1969
2006-04-01,1821
2006-05-01,1942
2006-06-01,1802
2006-07-01,1737
2006-08-01,1650
2006-09-01,1720
2006-10-01,1491
2006-11-01,1570
2006-12-01,1649
2007-01-01,1409
2007-02-01,1480
2007-03-01,1495
2007-04-01,1490
2007-05-01,1415
2007-06-01,1448
2007-07-01,1354
2007-08-01,1330
2007-09-01,1183
2007-10-01,1264
2007-11-01,1197
2007-12-01,1037
2008-01-01,1084
2008-02-01,1103
2008-03-01,1005
2008-04-01,1013
2008-05-01,973
2008-06-01,1046
2008-07-01,923
2008-08-01,844
2008-09-01,820
2008-10-01,777
2008-11-01,652
2008-12-01,560
2009-01-01,490
2009-02-01,582
2009-03-01,505
2009-04-01,478
2009-05-01,540
2009-06-01,585
2009-07-01,594
2009-08-01,586
2009-09-01,585
2009-10-01,534
2009-11-01,588
2009-12-01,581
2010-01-01,614
2010-02-01,604
2010-03-01,636
2010-04-01,687
2010-05-01,583
2010-06-01,536
2010-07-01,546
2010-08-01,599
2010-09-01,594
2010-10-01,543
2010-11-01,545
2010-12-01,539
2011-01-01,630
2011-02-01,517
2011-03-01,600
2011-04-01,554
2011-05-01,561
2011-06-01,608
2011-07-01,623
2011-08-01,585
2011-09-01,650
2011-10-01,610
2011-11-01,711
2011-12-01,694
2012-01-01,723
2012-02-01,704
2012-03-01,695
2012-04-01,753
2012-05-01,708
2012-06-01,757
2012-07-01,740
2012-08-01,754
2012-09-01,847
2012-10-01,915
2012-11-01,833
2012-12-01,976
2013-01-01,888
2013-02-01,970
2013-03-01,999
2013-04-01,826
2013-05-01,920
2013-06-01,852
2013-07-01,891
2013-08-01,898
2013-09-01,860
2013-10-01,921
2013-11-01,1104
2013-12-01,1010
2014-01-01,902
2014-02-01,948
2014-03-01,973
2014-04-01,1038
2014-05-01,987
2014-06-01,928
2014-07-01,1085
2014-08-01,984
2014-09-01,999
2014-10-01,1094
2014-11-01,994
2014-12-01,1081
2015-01-01,1101
2015-02-01,887
2015-03-01,974
2015-04-01,1200
2015-05-01,1066
2015-06-01,1201
2015-07-01,1140
2015-08-01,1134
2015-09-01,1209
2015-10-01,1059
2015-11-01,1176
2015-12-01,1138
2016-01-01,1123
2016-02-01,1209
2016-03-01,1128
2016-04-01,1164
2016-05-01,1119
2016-06-01,1190
2016-07-01,1223
2016-08-01,1164
2016-09-01,1062
2016-10-01,1328
2016-11-01,1149
2016-12-01,1268
2017-01-01,1236
2017-02-01,1288
2017-03-01,1189.0
2017-04-01,1154.0
2017-05-01,1129.0
2017-06-01,1217.0
2017-07-01,1185.0
2017-08-01,1172.0
2017-09-01,1159.0
2017-10-01,1261.0
2017-11-01,1299.0
2017-12-01,1209.0
2018-01-01,1326.0
